# energy d(up) d(down)
-9.430548718999999380e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.428658718999999166e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.426768718999998953e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.424878719000000160e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.422988718999999946e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.421098718999999733e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.419208718999999519e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.417318718999999305e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.415428718999999091e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.413538718999998878e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.411638718999999753e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.409748718999999539e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.407858718999999326e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.405968718999999112e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.404078718999998898e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.402188719000000106e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.400298718999999892e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.398408718999999678e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.396518718999999464e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.394628718999999251e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.392738718999999037e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.390848718999998823e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.388958719000000031e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.387068718999999817e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.385178718999999603e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.383288718999999389e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.381398718999999176e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.379508718999998962e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.377618719000000169e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.375728718999999955e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.373838718999999742e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.371948718999999528e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.370058718999999314e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.368168718999999101e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.366278718999998887e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.364388719000000094e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.362498718999999880e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.360608718999999667e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.358718718999999453e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.356828718999999239e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.354928719000000115e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.353038718999999901e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.351148718999999687e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.349258718999999473e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.347368718999999260e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.345478718999999046e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.343588718999998832e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.341698719000000040e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.339808718999999826e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.337918718999999612e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.336028718999999398e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.334138718999999185e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.332248718999998971e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.330358719000000178e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.328468718999999965e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.326578718999999751e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.324688718999999537e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.322798718999999323e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.320908718999999110e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.319018718999998896e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.317128719000000103e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.315238718999999890e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.313348718999999676e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.311458718999999462e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.309568718999999248e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.307678718999999035e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.305788718999998821e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.303898719000000028e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.302008718999999815e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.300118718999999601e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.298218718999999055e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.296328718999998841e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.294438719000000049e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.292548718999999835e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.290658718999999621e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.288768718999999408e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.286878718999999194e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.284988718999998980e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.283098719000000187e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.281208718999999974e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.279318718999999760e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.277428718999999546e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.275538718999999332e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.273648718999999119e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.271758718999998905e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.269868719000000112e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.267978718999999899e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.266088718999999685e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.264198718999999471e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.262308718999999257e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.260418718999999044e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.258528718999998830e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.256638719000000037e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.254748718999999824e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.252858718999999610e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.250968718999999396e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.249078718999999182e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.247188718999998969e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.245298719000000176e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.243408718999999962e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.241518718999999749e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.239618718999999203e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.237728718999998989e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.235838719000000197e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.233948718999999983e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.232058718999999769e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.230168718999999555e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.228278718999999342e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.226388718999999128e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.224498718999998914e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.222608719000000121e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.220718718999999908e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.218828718999999694e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.216938718999999480e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.215048718999999267e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.213158718999999053e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.211268718999998839e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.209378719000000046e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.207488718999999833e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.205598718999999619e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.203708718999999405e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.201818718999999192e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.199928718999998978e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.198038719000000185e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.196148718999999971e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.194258718999999758e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.192368718999999544e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.190478718999999330e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.188588718999999116e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.186698718999998903e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.184808719000000110e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.182908718999999564e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.181018718999999351e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.179128718999999137e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.177238718999998923e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.175348719000000131e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.173458718999999917e+01 0.000000000000000000e+00 -0.000000000000000000e+00
